url,content
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-1&lesson=05-everyday-greetings-and-responses-in-dagbani,Everyday Greetings and Responses in Dagbanli
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-1&lesson=05-everyday-greetings-and-responses-in-dagbani,Mark Complete
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-1&lesson=05-everyday-greetings-and-responses-in-dagbani,"Just like any language, there are formal and informal greetings in Dagbani. Dagbamba's take greetings VERY SERIOUSLY. It's the basic and most intrinsic way of opening up conversations and especially acknowledging and showing respect."
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-1&lesson=05-everyday-greetings-and-responses-in-dagbani,"Usually in the Dagomba culture, younger folks must greet older folks when they meet them. If you are greeting someone older than you, you're expected to kneel. A simple hunch over could also do, but it's considered partly informal, so going all the way down on the knees is a perfect show of respect."
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-1&lesson=05-everyday-greetings-and-responses-in-dagbani,"Depending on the 'status' of the person you're greeting, usually a King or Queen, you clap upon each response (while saying n'naa) - example greeting video coming soon. People are also expected to greet those they don't know when walking past them."
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-1&lesson=05-everyday-greetings-and-responses-in-dagbani,"It's a very important part of the culture and people take it seriously, so don't forget to randomly greet people if you're ever in Dagbon. It's a a respectful gesture and highly appreciated."
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-1&lesson=05-everyday-greetings-and-responses-in-dagbani,### Dagbanli ### Response ### Greeting in English
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-1&lesson=05-everyday-greetings-and-responses-in-dagbani,Formal Greetings
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-1&lesson=05-everyday-greetings-and-responses-in-dagbani,Dasiba N'naa Good morning
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-1&lesson=05-everyday-greetings-and-responses-in-dagbani,Antire N'naa Good afternoon
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-1&lesson=05-everyday-greetings-and-responses-in-dagbani,Aninwula N'naa Good evening
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-1&lesson=05-everyday-greetings-and-responses-in-dagbani,Naawuni ni ti biɛɣu Ami Good night
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-1&lesson=05-everyday-greetings-and-responses-in-dagbani,Puhigu Greetings
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-1&lesson=05-everyday-greetings-and-responses-in-dagbani,A'maraba n gomina/gonya Welcome
